source,index,point_count,span,mean_spacing,mu1,mu2,mu3,mu4_raw,mu4_gt2,q4_per_core,pair_part_per_core,three_index_part_per_core,reconstruction_relative_error,window_start
D0_first_10000,10,512,511.10153216317667,1.0001986930786235,1.0,1.296699419204077,1.8787525515415728,2.9316473122321507,0.0622163255929761,0.005607409728881282,1.869430986639175,0.05660891586409482,0.0,6325
D0_first_10000,11,512,511.29494881809387,1.0005771992526298,1.0,1.3051351612192288,1.8916850697469378,2.9227434972628594,0.011160317187813226,-0.003951604611978243,1.9115831800750462,0.01511192179979147,0.0,6958
D0_first_10000,12,512,510.6842665717586,0.9993821263635198,1.0,1.3007712317710447,1.8977606724206955,2.9883288109865944,0.08619586923317107,0.0050079432473476085,1.9021329417534234,0.08118792598582347,1.4860788016946734e-16,7590
D0_first_10000,13,512,510.6156077580854,0.9992477646929264,1.0,1.3199260383799065,1.9451583239940915,3.070661435277331,0.0595096272088795,0.005026212458667287,2.0111518080684516,0.05448341475021221,0.0,8223
D0_first_10000,14,512,510.4810314820097,0.9989844060313302,1.0,1.2833622639501423,1.8315700655841884,2.803937481985531,0.03147162240477781,0.0010526002173762705,1.7724658595807528,0.030419022187401543,0.0,8855
D0_first_10000,15,512,511.27914621641503,1.0005462743961155,1.0,1.2752166788250774,1.7950321158692786,2.699260662202951,-0.023711527042093505,0.0022151136695017087,1.7229721892450445,-0.025926640711595214,0.0,9488
D1_near_1e12,0,512,511.2994773197288,1.0005860612910544,1.0,1.3382786535246194,2.0444317135154333,3.436878011159046,0.27788739358015163,0.007202852665567264,2.1589906175788935,0.2706845409145844,0.0,0
D1_near_1e12,1,512,511.6683219928375,1.0013078708274705,1.0,1.3145329005001816,1.9422459671733048,3.1083286072183247,0.11174295510606849,-9.867311863601125e-05,1.9965856521122567,0.1118416282247045,0.0,633
D1_near_1e12,2,512,512.612457453406,1.0031554940379765,1.0,1.355951436173475,2.0609078661760973,3.3614801121884614,0.09877481573205397,-0.006404362565320024,2.2627052964564074,0.105179178297374,0.0,1265
D1_near_1e12,3,512,511.9880675537563,1.0019335959956093,1.0,1.3156413844908754,1.9348112537764082,3.067938938596251,0.07376908208563454,-0.006778354314202789,1.9941698565106163,0.08054743639983733,1.4475164556347317e-16,1898
D1_near_1e12,4,512,511.0977898808387,1.0001913696298215,1.0,1.357189794479677,2.0664804780233084,3.389665961226478,0.11232339690037639,-0.010314497339668507,2.2773425643261014,0.1226378942400449,0.0,2530
D1_near_1e12,5,512,510.9994542858103,0.999998932066165,1.0,1.3592397095666815,2.087903799890326,3.48875285831475,0.18785838881562564,0.002385831321219556,2.300894469499124,0.18547255749440608,0.0,3163
D1_near_1e12,6,512,511.62284555729775,1.001218875845984,1.0,1.3322662098460336,2.0180584503649808,3.3612274318371975,0.246630144245868,-0.0024309058268044137,2.1145972875913297,0.2490610500726724,0.0,3795
D1_near_1e12,7,512,510.2523863274946,0.9985369595449992,1.0,1.365371350897164,2.130814808029534,3.67872531729828,0.33963977742885865,-0.006801787281305274,2.3390855398694215,0.3464415647101639,0.0,4428
D1_near_1e12,8,512,510.62602193075236,0.999268144678576,1.0,1.3444271569406552,2.0429046234761965,3.3778524604527824,0.1883529509924332,0.0053006658249585975,2.189499509460349,0.18305228516747463,0.0,5060
D1_near_1e12,9,512,510.26526006392214,0.9985621527669709,1.0,1.3333124838823256,2.0058900230459358,3.2801293230013173,0.15518381312880608,-0.0016534261432358949,2.124945509872511,0.15683723927204196,0.0,5693
D1_near_1e12,10,512,509.7376883225288,0.9975297227446748,1.0,1.3282446906323,1.9779770130507193,3.1847875009422566,0.09933693569181104,0.006469859282901433,2.085450565250445,0.09286707640890961,0.0,6325
D1_near_1e12,11,512,511.2168120053466,1.000424289638643,1.0,1.3129953701568975,1.9361405822465758,3.0858204473255615,0.10172458000018822,-0.0015218321801706014,1.9840958673253732,0.10324641218035882,0.0,6958
D1_near_1e12,12,512,511.42298215510164,1.0008277537281833,1.0,1.3580833219607085,2.0510772975127054,3.3003731112065413,0.038719855070760784,-0.0052189315890269206,2.2616532561357805,0.043938786659787704,0.0,7590
D1_near_1e12,13,512,510.86412691152145,0.9997341035450518,1.0,1.312313205192876,1.923044139258948,3.0383351970544745,0.06519107573425263,0.00865106452980225,1.9731441213202214,0.05654001120445038,0.0,8223
D1_near_1e12,14,512,510.8898870526282,0.9997845147800943,1.0,1.332871855696826,1.9839541910251604,3.1743124381110173,0.06799933924875035,-0.00370197584192182,2.106313098862268,0.07170131509067217,0.0,8855
