u_center,empirical_pair_correlation,GUE_bin_average,pair_count,residual_empirical_minus_GUE
7.3500000000000005,1.0207196324183059,0.9985210497472284,1020,0.022198582671077438
7.45,1.0007155377986876,0.9982336717970524,1000,0.0024818660016352467
7.550000000000001,0.9857146705118505,0.9982793946434171,985,-0.012564724131566618
7.65,0.9967326277599273,0.9986328389054623,996,-0.001900211145534958
7.75,1.0157567702584667,0.9991553717468571,1015,0.016601398511609577
7.8500000000000005,1.0207707151451817,0.9996523108425786,1020,0.021118404302603144
7.95,0.9867549012273135,0.9999479652764738,986,-0.013193064049160319
8.05,1.0307989060368772,0.999949876382092,1030,0.0308490296547852
8.15,0.9877754406485637,0.9996790375998802,987,-0.011903596951316486
8.25,0.991788510532433,0.9992565836208732,991,-0.007468073088440219
8.350000000000001,0.9687799071468007,0.9988539899396408,968,-0.030074082792840073
8.45,0.9978132599053269,0.9986269775883521,997,-0.0008137176830251835
8.55,1.0138364594778035,0.9986583858179385,1013,0.01517807365986501
8.65,0.993829893075457,0.9989307691995748,993,-0.0051008761241178036
8.75,0.984832229517968,0.9993375048802231,984,-0.014505275362255099
8.850000000000001,1.0058600592343336,0.9997265259805448,1005,0.006133533253788848
8.95,0.972841556784168,0.9999589724364643,972,-0.027117415652296306
9.05,1.0138872038257072,0.9999603146084894,1013,0.013926889217217742
9.15,1.0118955816300206,0.9997452936152635,1011,0.012150288014757038
9.25,0.9808779397112213,0.9994085577089583,980,-0.01853061799773703
9.350000000000001,1.0269294292669964,0.9990859612481768,1026,0.02784346801881954
9.45,1.0639735977770322,0.998902174272399,1063,0.06507142350463313
9.55,0.957886101938455,0.9989246709108354,957,-0.04103856897238034
9.650000000000002,0.9358751006960687,0.9991409497450036,935,-0.06326584904893484
9.75,1.0219658221033037,0.9994665004322241,1021,0.022499321671079597
9.850000000000001,1.0299837009911947,0.9997792866665213,1029,0.030204414324673468
9.95,1.0189833864462818,0.9999668234217993,1018,0.019016563024482513
10.05,1.0019769955280164,0.9999678018346858,1001,0.0020091936933306354
10.150000000000002,1.0069919569883756,0.9997929664887216,1006,0.007198990499654001
10.25,0.9939890897447131,0.9995182815257402,993,-0.005529191781027065
10.350000000000001,0.9899950168947123,0.9992540173516511,989,-0.009259000456938837
10.45,1.0100252506049745,0.9991022208380924,1009,0.010923029766882086
10.55,0.9880127880321559,0.9991188822561947,987,-0.011106094224038854
10.650000000000002,1.0250610175292425,0.9992947396716316,1024,0.025766277857610875
10.75,0.9509938637518177,0.9995611850376841,950,-0.04856732128586638
10.850000000000001,1.0070625321805233,0.9998181309096036,1006,0.0072444012709197425
10.95,1.0000651516334342,0.9999726189443785,999,9.253268905573542e-05
11.05,1.005080545856386,0.9999733540234967,1004,0.005107191832889324
11.150000000000002,1.0461351460211328,0.9998284077712479,1045,0.04630673824988485
11.25,0.9960908061401221,0.9996000798166703,995,-0.0035092736765481858
11.350000000000001,0.9430421451708338,0.9993796516027933,942,-0.05633750643195945
11.45,0.9640750306686549,0.9992521827341526,963,-0.03517715206549776
11.55,1.0401702871165825,0.9992648645048122,1039,0.040905422611770326
11.650000000000002,0.9851182012234142,0.9994106454274201,984,-0.014292444204005883
11.75,1.0031487006193671,0.9996327299849949,1002,0.0035159706343722563
11.850000000000001,0.9821344602345722,0.999847555030565,981,-0.017713094795992812
11.95,1.0452177814204557,0.9999770185859868,1044,0.045240762834468984
12.05,0.9421070698896518,0.9999775847741427,941,-0.05787051488449091
12.150000000000002,1.028218543303017,0.9998554702501903,1027,0.028363073052826815
12.25,0.9951893538500407,0.9996626835256824,994,-0.004473329675641735
12.350000000000001,1.062280158780244,0.9994760273174723,1061,0.06280413146277164
12.45,0.9801910362760151,0.999367483973368,979,-0.01917644769735294
