local_index,offset_text,absolute_gamma_decimal_string,theta_unfolded_relative_x
899,665.13473713,144176897509546973665.13473713,898.497149839468
900,665.26155623,144176897509546973665.26155623,899.3969413622211
901,665.37141178,144176897509546973665.37141178,900.1763751590024
902,665.49310630,144176897509546973665.49310630,901.0398073822363
903,665.64887622,144176897509546973665.64887622,902.1450072576173
904,665.73648685,144176897509546973665.73648685,902.7666115914839
905,665.83563466,144176897509546973665.83563466,903.4700731279365
906,666.04482142,144176897509546973666.04482142,904.9542696986439
907,666.28876085,144176897509546973666.28876085,906.6850392055969
908,666.39993498,144176897509546973666.39993498,907.4738284315374
909,666.48788244,144176897509546973666.48788244,908.0978226008358
910,666.64458940,144176897509546973666.64458940,909.2096708489657
911,666.74057833,144176897509546973666.74057833,909.8907198825273
912,666.92584321,144176897509546973666.92584321,911.2051888267783
913,667.11827598,144176897509546973667.11827598,912.5705145162518
914,667.16221942,144176897509546973667.16221942,912.8822966909606
915,667.32337645,144176897509546973667.32337645,914.0257185369293
916,667.41236005,144176897509546973667.41236005,914.6570642012973
917,667.57631405,144176897509546973667.57631405,915.8203307701459
918,667.78995222,144176897509546973667.78995222,917.3361104460977
919,668.00257786,144176897509546973668.00257786,918.844706141793
920,668.07270092,144176897509546973668.07270092,919.3422347864334
921,668.18419320,144176897509546973668.18419320,920.1332813117314
922,668.39401429,144176897509546973668.39401429,921.6219785038485
923,668.50012708,144176897509546973668.50012708,922.3748571230603
924,668.65030251,144176897509546973668.65030251,923.4403636503879
925,668.75801841,144176897509546973668.75801841,924.2046164615632
926,668.89176774,144176897509546973668.89176774,925.1535785130832
927,669.04319275,144176897509546973669.04319275,926.2279509091246
928,669.12266183,144176897509546973669.12266183,926.79179030323
929,669.23202412,144176897509546973669.23202412,927.5677243813843
930,669.38657049,144176897509546973669.38657049,928.6642430729559
931,669.56645898,144176897509546973669.56645898,929.9405661058654
932,669.75007072,144176897509546973669.75007072,931.2433058913548
933,669.84720399,144176897509546973669.84720399,931.9324741075249
934,670.05337655,144176897509546973670.05337655,933.3952846913589
935,670.14482889,144176897509546973670.14482889,934.0441462608538
936,670.26310638,144176897509546973670.26310638,934.883334386574
937,670.39856268,144176897509546973670.39856268,935.8444075249539
938,670.57481280,144176897509546973670.57481280,937.0949160355822
939,670.72038469,144176897509546973670.72038469,938.1277600833097
