dataset,role,location_id,m,lambda,n_pos_res,n_neg_res,n_unres,p_pos_res,p_neg_res,p_unres,H_norm2_from_spectrum,epsilon_screen,min_abs_H_eigenvalue,trace_formula,trace_spectrum,trace_abs_error,frobH2_formula,frobH2_spectrum,frobH2_abs_error,npos_lower_bound_raw,b_pos_normalized,bound_slack_fraction
low_height_first_10000,primary,1,256,0.2,256,0,0,1.0,0.0,0.0,0.9986867564151187,1e-10,0.46046714677438405,204.8,204.8,0.0,173.11421305587135,173.11421305587135,0.0,242.28536328477662,0.9464272003311587,0.05357279966884132
low_height_first_10000,primary,1,256,0.25,256,0,0,1.0,0.0,0.0,0.9983584455188983,1e-10,0.3255839334679801,192.0,192.0,0.0,158.49095789979896,158.49095789979899,2.842170943040401e-14,232.59371063493813,0.9085691821677271,0.09143081783227291
low_height_first_10000,primary,1,256,0.3,256,0,0,1.0,0.0,0.0,0.998030134622678,1e-10,0.19070072016157613,179.2,179.20000000000002,2.842170943040401e-14,146.3069793757105,146.3069793757105,0.0,219.48809371244013,0.8573753660642193,0.14262463393578073
low_height_first_10000,primary,1,256,0.35,256,0,0,1.0,0.0,0.0,0.9977018237264577,1e-10,0.05581750685517217,166.4,166.40000000000003,2.842170943040401e-14,136.56227748360598,136.562277483606,2.842170943040401e-14,202.75701687330167,0.7920195971613346,0.20798040283866537
low_height_first_10000,primary,1,256,0.4,218,38,0,0.8515625,0.1484375,0.0,0.9973735128302373,1e-10,0.004544435439220784,153.6,153.60000000000002,2.842170943040401e-14,129.25685222348537,129.25685222348537,0.0,182.52773136705915,0.7129989506525748,0.1385635493474252
low_height_first_10000,primary,1,256,0.45,213,43,0,0.83203125,0.16796875,0.0,0.997045201934017,1e-10,0.0015984383631892918,140.8,140.8,0.0,124.39070359534867,124.39070359534867,0.0,159.37396788501889,0.622554562050855,0.20947668794914498
low_height_first_10000,primary,1,256,0.5,195,61,0,0.76171875,0.23828125,0.0,0.9967168910377967,1e-10,0.002028856826424952,128.0,128.0,0.0,121.96383159919588,121.9638315991959,1.4210854715202004e-14,134.33490720299756,0.5247457312617092,0.2369730187382908
low_height_first_10000,primary,1,256,0.55,191,65,0,0.74609375,0.25390625,0.0,0.9963885801415764,1e-10,0.030257493800350144,115.19999999999999,115.2,1.4210854715202004e-14,121.97623623502702,121.97623623502703,1.4210854715202004e-14,108.80020903767688,0.4250008165534253,0.3210929334465747
low_height_first_10000,primary,1,256,0.6,185,71,0,0.72265625,0.27734375,0.0,0.9960602692453561,1e-10,0.004257852767777237,102.4,102.4,0.0,124.42791750284209,124.42791750284209,0.0,84.27176320587776,0.32918657502296,0.39346967497704
low_height_first_10000,primary,1,256,0.65,178,78,0,0.6953125,0.3046875,0.0,0.9957319583491357,1e-10,0.0010746967469015267,89.6,89.6,0.0,129.31887540264105,129.31887540264105,0.0,62.080341906809075,0.24250133557347295,0.452811164426527
low_height_first_10000,primary,1,256,0.7,171,85,0,0.66796875,0.33203125,0.0,0.9954036474529154,1e-10,0.005210497997569341,76.80000000000001,76.80000000000003,1.4210854715202004e-14,136.64910993442393,136.64910993442393,0.0,43.16339859681843,0.168607025768822,0.499361724231178
low_height_first_10000,primary,1,256,0.75,165,91,0,0.64453125,0.35546875,0.0,1.0232481995960598,1.0232481995960598e-10,0.0002247417927672135,64.0,64.00000000000003,2.842170943040401e-14,146.41862109819073,146.41862109819073,0.0,27.97458389703831,0.1092757183478059,0.5352555316521941
low_height_first_10000,primary,1,256,0.8,163,93,0,0.63671875,0.36328125,0.0,1.1581314129024638,1.1581314129024639e-10,0.019862913775383628,51.19999999999999,51.2,1.4210854715202004e-14,158.6274088939415,158.62740889394146,2.842170943040401e-14,16.52576952670706,0.06455378721369945,0.5721649627863006
low_height_first_10000,primary,1,256,0.85,158,98,0,0.6171875,0.3828125,0.0,1.2930146262088678,1.2930146262088677e-10,0.0035716995624968106,38.400000000000006,38.400000000000006,0.0,173.2754733216761,173.2754733216761,0.0,8.509917599604899,0.033241865623456636,0.5839456343765433
low_height_first_10000,primary,1,256,0.9,156,100,0,0.609375,0.390625,0.0,1.4278978395152717,1.4278978395152717e-10,0.025691325423527478,25.599999999999994,25.60000000000001,1.4210854715202004e-14,190.36281438139468,190.36281438139468,0.0,3.4426891729336186,0.013448004581771948,0.595926995418228
low_height_first_10000,primary,1,256,0.95,153,103,0,0.59765625,0.40234375,0.0,1.5627810528216757,1.5627810528216758e-10,0.008515229354714382,12.800000000000011,12.800000000000026,1.4210854715202004e-14,209.88943207309717,209.8894320730971,5.684341886080802e-14,0.7806014737461414,0.003049224506820865,0.5946070254931791
low_height_first_10000,primary,1,512,0.1,512,0,0,1.0,0.0,0.0,0.9993433784322496,1e-10,0.7287361214586855,460.8,460.8,0.0,419.3490978578668,419.34909785786675,5.684341886080802e-14,506.3481502277343,0.9889612309135436,0.011038769086456401
low_height_first_10000,primary,1,512,0.15,512,0,0,1.0,0.0,0.0,0.9990150676483744,1e-10,0.5931041821880283,435.2,435.20000000000005,5.684341886080802e-14,380.3354701802002,380.3354701802002,0.0,497.9789024417419,0.9726150438315272,0.027384956168472807
low_height_first_10000,primary,1,512,0.2,512,0,0,1.0,0.0,0.0,0.9986867568644993,1e-10,0.457472242917371,409.6,409.6,0.0,346.1963914314671,346.1963914314671,0.0,484.6155654779901,0.9465147763241994,0.05348522367580055
low_height_first_10000,primary,1,512,0.25,512,0,0,1.0,0.0,0.0,0.9983584460806241,1e-10,0.3218403036467138,384.0,384.0,0.0,316.93186161166733,316.9318616116674,5.684341886080802e-14,465.2608899911616,0.9087126757639875,0.09128732423601249
low_height_first_10000,primary,1,512,0.3,512,0,0,1.0,0.0,0.0,0.9980301352967489,1e-10,0.1862083643760566,358.4,358.40000000000003,5.684341886080802e-14,292.541880720801,292.54188072080103,5.684341886080802e-14,439.0843447218824,0.8575866107849266,0.1424133892150734
low_height_first_10000,primary,1,512,0.35,512,0,0,1.0,0.0,0.0,0.9977018245128737,1e-10,0.05057642510539939,332.8,332.8,0.0,273.026448758868,273.026448758868,0.0,405.65974653180047,0.7923041924449228,0.20769580755507722
