dataset,role,location_id,m,start_index_1based,end_index_1based,midpoint_index_1based,L,mean_spacing,rho2_finite,symmetry_max_abs_error,diagonal_max_abs_error,mu_min,mu_max,psd_tolerance,n_mu_below_negative_psd_tolerance,frobC2_points,frobC2_from_spectrum,frobC2_spectral_abs_error,D_C_points,frobC2_pair_prediction,D_C_pair_prediction,pair_prediction_abs_error_D,pair_prediction_rel_error_frob,n_crossings_lambda_0p10_0p95,crossing_min,crossing_max_finite
near_1e12,secondary_control,1,512,1,512,256.5,511.2994773197288,1.0005860612910544,1.0007835624121546,0.0,0.0,0.0005455551518610319,3.228188942108731,3.6700259239623064e-11,0,990.7189323959863,990.7189323959863,0.0,0.9349979148359107,995.6996724259159,0.944725922706867,-0.00972800787095629,-0.00502739966610312,205,0.30977121164003985,1832.9952463811173
near_1e12,secondary_control,2,128,826,953,889.5,125.58844751831816,0.9888854135300643,1.0306573550766889,0.0,0.0,0.0022973446853416673,3.005272198177601,8.54149731758753e-12,0,247.75970901251844,247.75970901251844,0.0,0.9356227266603003,249.74653000244905,0.9511447656441332,-0.015522038983832864,-0.008019144831293854,49,0.3327485612139894,435.28513869971465
near_1e12,secondary_control,2,256,762,1017,889.5,255.1882761951871,1.0007383380203416,1.0024407419280557,0.0,0.0,0.0020444915310585425,3.1204584938259066,1.773775292023121e-11,0,496.8973974012772,496.89739740127726,5.684341886080802e-14,0.9410054585987391,497.4196082275059,0.9430453446386948,-0.0020398860399557517,-0.0010509429692322437,99,0.3204657270649763,489.11916963639686
near_1e12,secondary_control,2,512,634,1145,889.5,511.6683219928375,1.0013078708274705,0.9993412193083422,0.0,0.0,0.001962483939100996,3.1204584938561193,3.54755058408059e-11,0,996.5190445155092,996.5190445155092,0.0,0.946326258819354,995.3515542733871,0.9440460044402093,0.002280254379144697,0.0011715684196378796,202,0.3204657270618735,509.55831030041196
near_1e12,secondary_control,3,128,1458,1585,1521.5,126.44131486922174,0.995600904482061,1.01680034224213,0.0,0.0,0.002602665018081315,3.082226949156053,8.760215874747397e-12,0,250.65246900504363,250.65246900504366,2.842170943040401e-14,0.9582224141019033,248.93074002374703,0.9447714064355237,0.013451007666379633,0.006868988716252974,52,0.32444074252021277,384.2215548496518
near_1e12,secondary_control,3,256,1394,1649,1521.5,254.99960384184305,0.9999984464386003,1.003924687942315,0.0,0.0,0.0026026650180810866,3.082248826237758,1.7520556106306673e-11,0,497.2039384471708,497.20393844717086,5.684341886080802e-14,0.9422028845592609,497.5976512721769,0.943740825281941,-0.0015379407226800978,-0.0007918537939094343,104,0.3244384397156591,384.2215548496855
near_1e12,secondary_control,3,512,1266,1777,1521.5,512.612457453406,1.0031554940379765,0.9956634132709994,0.0,0.0,0.0006363087987335503,3.0980397594455953,3.5220634338720573e-11,0,992.9029358092441,992.9029358092439,2.2737367544323206e-13,0.9392635465024299,994.4627513739617,0.942310061277269,-0.003046514774839082,-0.001570964802764246,205,0.3227847534722903,1571.563998471036
near_1e12,secondary_control,4,128,2091,2218,2154.5,126.93776823820508,0.9995099861275991,1.008862486734122,0.0,0.0,0.0016002891023674728,3.1269510014388295,8.887329276600523e-12,0,249.0451668423149,249.04516684231484,5.684341886080802e-14,0.9456653659555851,248.46088378764176,0.9411006545909513,0.004564711364633878,0.002346092727200284,50,0.31980034210317393,624.8870897893368
near_1e12,secondary_control,4,256,2027,2282,2154.5,254.47615281565618,0.9979456973162988,1.0080590312038,0.0,0.0,0.001021552373920309,3.126951002957222,1.777465856183211e-11,0,499.52676458172596,499.526764581726,5.684341886080802e-14,0.951276424147367,498.09299020296436,0.9456757429803295,0.005600681167037491,0.0028702653799985178,104,0.3198003419478845,978.9023309322853
near_1e12,secondary_control,4,512,1899,2410,2154.5,511.9880675537563,1.0019335959956093,0.9980933967071146,0.0,0.0,0.0010215523739202069,3.126951002957224,3.554931712366424e-11,0,999.5011244413639,999.501124441364,1.1368683772161603e-13,0.9521506336745389,995.0501814158774,0.9434573855778856,0.008693248096653283,0.004453164600464236,206,0.3198003419478843,978.9023309323832
near_1e12,secondary_control,5,128,2723,2850,2786.5,126.87829404152717,0.9990416853663556,1.0098085169311846,0.0,0.0,0.0021361393416877103,3.1612414913294113,8.984788710590155e-12,0,252.11835352574556,252.11835352574562,5.684341886080802e-14,0.9696746369198872,248.51697911793553,0.9415388993588714,0.02813573756101584,0.014284459490737813,50,0.31633141686352645,468.13425532902033
near_1e12,secondary_control,5,256,2659,2914,2786.5,254.76149158929866,0.9990646728992104,1.0058021968201294,0.0,0.0,0.0009248653541456936,3.161241491329413,1.796957742118032e-11,0,501.55255536448436,501.55255536448425,1.1368683772161603e-13,0.959189669392517,497.82272409092894,0.9446200159801912,0.014569653412325856,0.007436571170183562,101,0.3163314168635262,1081.238469489117
