dataset,lambda,location_id,abs_p_pos_128_256,abs_p_pos_256_512,abs_p_pos_128_512
low_height_first_10000,0.7,11,0.0,0.001953125,0.001953125
low_height_first_10000,0.7,12,0.0,0.005859375,0.005859375
low_height_first_10000,0.7,13,0.0078125,0.00390625,0.00390625
low_height_first_10000,0.7,14,0.0,0.001953125,0.001953125
low_height_first_10000,0.7,15,0.015625,0.001953125,0.017578125
low_height_first_10000,0.7,16,0.0,0.001953125,0.001953125
low_height_first_10000,0.75,1,0.00390625,0.005859375,0.001953125
low_height_first_10000,0.75,2,0.0,0.005859375,0.005859375
low_height_first_10000,0.75,3,0.0,0.001953125,0.001953125
low_height_first_10000,0.75,4,0.00390625,0.001953125,0.005859375
low_height_first_10000,0.75,5,0.0078125,0.00390625,0.00390625
low_height_first_10000,0.75,6,0.0,0.0,0.0
low_height_first_10000,0.75,7,0.0078125,0.00390625,0.00390625
low_height_first_10000,0.75,8,0.01171875,0.005859375,0.005859375
low_height_first_10000,0.75,9,0.0078125,0.0,0.0078125
low_height_first_10000,0.75,10,0.0,0.001953125,0.001953125
low_height_first_10000,0.75,11,0.015625,0.0,0.015625
low_height_first_10000,0.75,12,0.0,0.001953125,0.001953125
low_height_first_10000,0.75,13,0.0078125,0.009765625,0.001953125
low_height_first_10000,0.75,14,0.00390625,0.0,0.00390625
low_height_first_10000,0.75,15,0.0078125,0.001953125,0.009765625
low_height_first_10000,0.75,16,0.00390625,0.0,0.00390625
low_height_first_10000,0.8,1,0.00390625,0.001953125,0.005859375
low_height_first_10000,0.8,2,0.0,0.00390625,0.00390625
low_height_first_10000,0.8,3,0.0,0.0,0.0
low_height_first_10000,0.8,4,0.0,0.001953125,0.001953125
low_height_first_10000,0.8,5,0.00390625,0.001953125,0.001953125
low_height_first_10000,0.8,6,0.00390625,0.001953125,0.001953125
low_height_first_10000,0.8,7,0.0078125,0.00390625,0.01171875
low_height_first_10000,0.8,8,0.0078125,0.005859375,0.001953125
low_height_first_10000,0.8,9,0.0078125,0.00390625,0.01171875
low_height_first_10000,0.8,10,0.0078125,0.001953125,0.009765625
low_height_first_10000,0.8,11,0.01171875,0.0,0.01171875
low_height_first_10000,0.8,12,0.00390625,0.0,0.00390625
low_height_first_10000,0.8,13,0.015625,0.009765625,0.005859375
low_height_first_10000,0.8,14,0.00390625,0.001953125,0.005859375
low_height_first_10000,0.8,15,0.01171875,0.001953125,0.013671875
low_height_first_10000,0.8,16,0.00390625,0.001953125,0.005859375
low_height_first_10000,0.85,1,0.0078125,0.0,0.0078125
low_height_first_10000,0.85,2,0.00390625,0.001953125,0.005859375
low_height_first_10000,0.85,3,0.00390625,0.0078125,0.00390625
low_height_first_10000,0.85,4,0.0,0.001953125,0.001953125
low_height_first_10000,0.85,5,0.00390625,0.0,0.00390625
low_height_first_10000,0.85,6,0.00390625,0.001953125,0.001953125
low_height_first_10000,0.85,7,0.00390625,0.00390625,0.0078125
low_height_first_10000,0.85,8,0.0078125,0.0,0.0078125
low_height_first_10000,0.85,9,0.0,0.00390625,0.00390625
low_height_first_10000,0.85,10,0.0,0.005859375,0.005859375
low_height_first_10000,0.85,11,0.00390625,0.001953125,0.005859375
low_height_first_10000,0.85,12,0.00390625,0.001953125,0.005859375
low_height_first_10000,0.85,13,0.00390625,0.001953125,0.005859375
low_height_first_10000,0.85,14,0.0078125,0.0,0.0078125
low_height_first_10000,0.85,15,0.0078125,0.00390625,0.00390625
low_height_first_10000,0.85,16,0.00390625,0.00390625,0.0078125
low_height_first_10000,0.9,1,0.0078125,0.001953125,0.009765625
low_height_first_10000,0.9,2,0.0,0.001953125,0.001953125
low_height_first_10000,0.9,3,0.00390625,0.001953125,0.001953125
low_height_first_10000,0.9,4,0.0,0.00390625,0.00390625
low_height_first_10000,0.9,5,0.01171875,0.0,0.01171875
low_height_first_10000,0.9,6,0.00390625,0.00390625,0.0078125
low_height_first_10000,0.9,7,0.00390625,0.001953125,0.001953125
low_height_first_10000,0.9,8,0.00390625,0.001953125,0.001953125
low_height_first_10000,0.9,9,0.0078125,0.001953125,0.009765625
low_height_first_10000,0.9,10,0.00390625,0.005859375,0.001953125
low_height_first_10000,0.9,11,0.0,0.0078125,0.0078125
low_height_first_10000,0.9,12,0.0078125,0.00390625,0.01171875
low_height_first_10000,0.9,13,0.00390625,0.005859375,0.001953125
low_height_first_10000,0.9,14,0.0,0.00390625,0.00390625
low_height_first_10000,0.9,15,0.01171875,0.0,0.01171875
low_height_first_10000,0.9,16,0.00390625,0.0,0.00390625
low_height_first_10000,0.95,1,0.00390625,0.0,0.00390625
low_height_first_10000,0.95,2,0.015625,0.005859375,0.009765625
low_height_first_10000,0.95,3,0.0078125,0.001953125,0.005859375
low_height_first_10000,0.95,4,0.0,0.0,0.0
low_height_first_10000,0.95,5,0.0078125,0.0,0.0078125
low_height_first_10000,0.95,6,0.00390625,0.001953125,0.001953125
low_height_first_10000,0.95,7,0.00390625,0.0,0.00390625
low_height_first_10000,0.95,8,0.00390625,0.001953125,0.005859375
low_height_first_10000,0.95,9,0.00390625,0.00390625,0.0078125
low_height_first_10000,0.95,10,0.0,0.001953125,0.001953125
low_height_first_10000,0.95,11,0.00390625,0.001953125,0.005859375
low_height_first_10000,0.95,12,0.0,0.0,0.0
low_height_first_10000,0.95,13,0.00390625,0.001953125,0.001953125
low_height_first_10000,0.95,14,0.0078125,0.001953125,0.005859375
low_height_first_10000,0.95,15,0.01171875,0.005859375,0.005859375
low_height_first_10000,0.95,16,0.0,0.00390625,0.00390625
near_1e12,0.1,1,0.0,0.0,0.0
near_1e12,0.1,2,0.0,0.0,0.0
near_1e12,0.1,3,0.0,0.0,0.0
near_1e12,0.1,4,0.0,0.0,0.0
near_1e12,0.1,5,0.0,0.0,0.0
near_1e12,0.1,6,0.0,0.0,0.0
near_1e12,0.1,7,0.0,0.0,0.0
near_1e12,0.1,8,0.0,0.0,0.0
near_1e12,0.1,9,0.0,0.0,0.0
near_1e12,0.1,10,0.0,0.0,0.0
near_1e12,0.1,11,0.0,0.0,0.0
near_1e12,0.1,12,0.0,0.0,0.0
near_1e12,0.1,13,0.0,0.0,0.0
near_1e12,0.1,14,0.0,0.0,0.0
near_1e12,0.1,15,0.0,0.0,0.0
near_1e12,0.1,16,0.0,0.0,0.0
near_1e12,0.15,1,0.0,0.0,0.0
near_1e12,0.15,2,0.0,0.0,0.0
near_1e12,0.15,3,0.0,0.0,0.0
near_1e12,0.15,4,0.0,0.0,0.0
near_1e12,0.15,5,0.0,0.0,0.0
near_1e12,0.15,6,0.0,0.0,0.0
near_1e12,0.15,7,0.0,0.0,0.0
near_1e12,0.15,8,0.0,0.0,0.0
near_1e12,0.15,9,0.0,0.0,0.0
near_1e12,0.15,10,0.0,0.0,0.0
near_1e12,0.15,11,0.0,0.0,0.0
near_1e12,0.15,12,0.0,0.0,0.0
near_1e12,0.15,13,0.0,0.0,0.0
near_1e12,0.15,14,0.0,0.0,0.0
near_1e12,0.15,15,0.0,0.0,0.0
near_1e12,0.15,16,0.0,0.0,0.0
near_1e12,0.2,1,0.0,0.0,0.0
near_1e12,0.2,2,0.0,0.0,0.0
near_1e12,0.2,3,0.0,0.0,0.0
near_1e12,0.2,4,0.0,0.0,0.0
near_1e12,0.2,5,0.0,0.0,0.0
near_1e12,0.2,6,0.0,0.0,0.0
near_1e12,0.2,7,0.0,0.0,0.0
near_1e12,0.2,8,0.0,0.0,0.0
near_1e12,0.2,9,0.0,0.0,0.0
near_1e12,0.2,10,0.0,0.0,0.0
near_1e12,0.2,11,0.0,0.0,0.0
near_1e12,0.2,12,0.0,0.0,0.0
near_1e12,0.2,13,0.0,0.0,0.0
near_1e12,0.2,14,0.0,0.0,0.0
near_1e12,0.2,15,0.0,0.0,0.0
near_1e12,0.2,16,0.0,0.0,0.0
near_1e12,0.25,1,0.0,0.0,0.0
near_1e12,0.25,2,0.0,0.0,0.0
near_1e12,0.25,3,0.0,0.0,0.0
near_1e12,0.25,4,0.0,0.0,0.0
near_1e12,0.25,5,0.0,0.0,0.0
near_1e12,0.25,6,0.0,0.0,0.0
near_1e12,0.25,7,0.0,0.0,0.0
near_1e12,0.25,8,0.0,0.0,0.0
near_1e12,0.25,9,0.0,0.0,0.0
near_1e12,0.25,10,0.0,0.0,0.0
near_1e12,0.25,11,0.0,0.0,0.0
near_1e12,0.25,12,0.0,0.0,0.0
near_1e12,0.25,13,0.0,0.0,0.0
near_1e12,0.25,14,0.0,0.0,0.0
near_1e12,0.25,15,0.0,0.0,0.0
near_1e12,0.25,16,0.0,0.0,0.0
near_1e12,0.3,1,0.0,0.0,0.0
near_1e12,0.3,2,0.0,0.0,0.0
near_1e12,0.3,3,0.0,0.0,0.0
near_1e12,0.3,4,0.0,0.0,0.0
near_1e12,0.3,5,0.0,0.0,0.0
near_1e12,0.3,6,0.0,0.0,0.0
near_1e12,0.3,7,0.0,0.0,0.0
near_1e12,0.3,8,0.0078125,0.00390625,0.01171875
near_1e12,0.3,9,0.0,0.0,0.0
near_1e12,0.3,10,0.0,0.0,0.0
near_1e12,0.3,11,0.0,0.0,0.0
near_1e12,0.3,12,0.0,0.0,0.0
near_1e12,0.3,13,0.0,0.0,0.0
near_1e12,0.3,14,0.0,0.0,0.0
near_1e12,0.3,15,0.0,0.0,0.0
near_1e12,0.3,16,0.0,0.0,0.0
near_1e12,0.35,1,0.0078125,0.0,0.0078125
near_1e12,0.35,2,0.00390625,0.00390625,0.0078125
near_1e12,0.35,3,0.0078125,0.0,0.0078125
near_1e12,0.35,4,0.0,0.0078125,0.0078125
near_1e12,0.35,5,0.00390625,0.005859375,0.009765625
near_1e12,0.35,6,0.01171875,0.0078125,0.00390625
near_1e12,0.35,7,0.0234375,0.005859375,0.029296875
near_1e12,0.35,8,0.015625,0.00390625,0.01953125
near_1e12,0.35,9,0.0078125,0.0,0.0078125
near_1e12,0.35,10,0.0,0.001953125,0.001953125
near_1e12,0.35,11,0.00390625,0.001953125,0.005859375
