dataset,role,m,lambda,p_pos_mean,p_pos_sd_location,p_neg_mean,p_neg_sd_location,p_unres_mean,b_pos_mean,b_pos_sd_location,min_abs_H_eig_min,n_unres_total,bound_slack_mean
low_height_first_10000,primary,256,0.15,1.0,0.0,0.0,0.0,0.0,0.9722300243032789,0.00014122129517240537,0.5527628959045732,0,0.027769975696721162
low_height_first_10000,primary,256,0.2,1.0,0.0,0.0,0.0,0.0,0.945783289575821,0.00026823082681348047,0.40368386120609756,0,0.054216710424178964
low_height_first_10000,primary,256,0.25,1.0,0.0,0.0,0.0,0.0,0.9075147903269379,0.0004390872303014376,0.25460482650762195,0,0.09248520967306204
low_height_first_10000,primary,256,0.3,1.0,0.0,0.0,0.0,0.0,0.8558244473378005,0.0006455896239319264,0.10552579180914634,0,0.14417555266219947
low_height_first_10000,primary,256,0.35,0.998779296875,0.0030984385505965534,0.001220703125,0.0030984385505965603,0.0,0.7899323993956121,0.0008683606143411723,0.0001190419500936013,0,0.20884689747938792
low_height_first_10000,primary,256,0.4,0.8837890625,0.009515013492940145,0.1162109375,0.009515013492940165,0.0,0.7104091128266196,0.0010767885852605318,0.00017155629024645513,0,0.17337994967338044
low_height_first_10000,primary,256,0.45,0.8232421875,0.007747122281585146,0.1767578125,0.007747122281585167,0.0,0.6195845750680204,0.0012339408698931336,0.0006902868097785619,0,0.20365761243197958
low_height_first_10000,primary,256,0.5,0.777587890625,0.006129826104091879,0.222412109375,0.006129826104091876,0.0,0.5215981668316411,0.0013066867427285339,0.0005006031272392075,0,0.25598972379335894
low_height_first_10000,primary,256,0.55,0.74365234375,0.005313074417474791,0.25634765625,0.005313074417474779,0.0,0.4219210191646986,0.0012775277891147849,0.0004186785346266264,0,0.3217313245853014
low_height_first_10000,primary,256,0.6,0.718017578125,0.0045596162226284225,0.281982421875,0.00455961622262842,0.0,0.32640749859437,0.001151900118052488,0.001410259675126646,0,0.39161007953063
low_height_first_10000,primary,256,0.65,0.691650390625,0.004615054322512315,0.308349609375,0.004615054322512303,0.0,0.24019244720480126,0.0009563482506411738,0.00019797023420209392,0,0.45145794342019874
low_height_first_10000,primary,256,0.7,0.670166015625,0.004271647057896934,0.329833984375,0.004271647057896937,0.0,0.16684699203971634,0.000728581287442416,0.0011030876492331698,0,0.5033190235852837
low_height_first_10000,primary,256,0.75,0.652587890625,0.005234715085345064,0.347412109375,0.005234715085345093,0.0,0.10805467629254292,0.0005052222139600583,0.0002247417927672135,0,0.544533214332457
low_height_first_10000,primary,256,0.8,0.63671875,0.004941058844013106,0.36328125,0.004941058844013099,0.0,0.06379674245562958,0.00031312586732650275,0.000403858991542716,0,0.5729220075443704
low_height_first_10000,primary,256,0.85,0.622314453125,0.004211691143134353,0.377685546875,0.004211691143134338,0.0,0.032839161142314145,0.00016652362623976007,0.0006227645318561681,0,0.5894752919826859
low_height_first_10000,primary,256,0.9,0.606689453125,0.004211691143134344,0.393310546875,0.004211691143134346,0.0,0.013281802638434195,6.871590679698011e-05,2.515761678756334e-06,0,0.5934076504865657
low_height_first_10000,primary,256,0.95,0.59619140625,0.004249262727104355,0.40380859375,0.004249262727104352,0.0,0.00301114811817088,1.574131887306604e-05,0.00018131383591601935,0,0.5931802581318291
low_height_first_10000,primary,512,0.1,1.0,0.0,0.0,0.0,0.0,0.9887911477482372,5.56492429806755e-05,0.7018358837859837,0,0.011208852251762776
low_height_first_10000,primary,512,0.15,1.0,0.0,0.0,0.0,0.0,0.9722001922376969,0.00013572379165607555,0.5527538256789755,0,0.027799807762303043
low_height_first_10000,primary,512,0.2,1.0,0.0,0.0,0.0,0.0,0.9457266302368943,0.0002578187893071185,0.4036717675719673,0,0.05427336976310569
low_height_first_10000,primary,512,0.25,1.0,0.0,0.0,0.0,0.0,0.9074220467126469,0.00042211342110657805,0.2545897094649592,0,0.09257795328735302
low_height_first_10000,primary,512,0.3,1.0,0.0,0.0,0.0,0.0,0.8556880991456606,0.0006207729826119227,0.10550765135795104,0,0.14431190085433943
low_height_first_10000,primary,512,0.35,0.9986572265625,0.0015492192752982882,0.0013427734375,0.0015492192752982802,0.0,0.7897490240821292,0.0008352206429162429,0.0001190419500916029,0,0.20890820248037076
low_height_first_10000,primary,512,0.4,0.8822021484375,0.0074362097724326335,0.1177978515625,0.00743620977243262,0.0,0.7101817563213778,0.0010360536482649603,0.00014216598432081895,0,0.17202039211612222
low_height_first_10000,primary,512,0.45,0.8232421875,0.005240784322265133,0.1767578125,0.005240784322265138,0.0,0.6193240814136481,0.0011877316113153996,7.899777248143725e-05,0,0.2039181060863518
low_height_first_10000,primary,512,0.5,0.7769775390625,0.005153622969515155,0.2230224609375,0.005153622969515138,0.0,0.5213223677712961,0.0012582914720836323,0.0005006031270005096,0,0.2556551712912039
low_height_first_10000,primary,512,0.55,0.7442626953125,0.004125904330913619,0.2557373046875,0.004125904330913599,0.0,0.421651427083569,0.0012307481688264453,0.0004186784155137957,0,0.322611268228931
low_height_first_10000,primary,512,0.6,0.717041015625,0.004026470337517215,0.282958984375,0.004026470337517253,0.0,0.3261644634506576,0.0011101838504431662,1.728963645741821e-05,0,0.3908765521743424
low_height_first_10000,primary,512,0.65,0.6917724609375,0.0029593764780773773,0.3082275390625,0.0029593764780773187,0.0,0.23999070602725064,0.0009220613141711995,3.0111865749749e-06,0,0.45178175491024936
low_height_first_10000,primary,512,0.7,0.669677734375,0.00284155635973895,0.330322265625,0.0028415563597389607,0.0,0.1666933213383255,0.0007026855291007273,0.00016103319039428854,0,0.5029844130366745
low_height_first_10000,primary,512,0.75,0.6529541015625,0.0026415368787328633,0.3470458984375,0.002641536878732862,0.0,0.10794812900018472,0.0004873905380731373,0.00020638530066396932,0,0.5450059725623153
low_height_first_10000,primary,512,0.8,0.636962890625,0.0027506028872757407,0.363037109375,0.0027506028872757264,0.0,0.06373071286686448,0.0003021326598608107,0.00040385898930539454,0,0.5732321777581355
low_height_first_10000,primary,512,0.85,0.6231689453125,0.003226599544531124,0.3768310546875,0.0032265995445310875,0.0,0.032804048209823175,0.00016069908451257496,0.00015401673722814646,0,0.5903648971026768
low_height_first_10000,primary,512,0.9,0.607177734375,0.002656537208737366,0.392822265625,0.0026565372087373985,0.0,0.013267313902469526,6.631808621131903e-05,3.036391771327196e-05,0,0.5939104204725305
low_height_first_10000,primary,512,0.95,0.5965576171875,0.0036343347785016407,0.4034423828125,0.0036343347785016394,0.0,0.0030078291365983685,1.5192713057044057e-05,9.688390934348146e-05,0,0.5935497880509016
near_1e12,secondary_control,128,0.1,1.0,0.0,0.0,0.0,0.0,0.9884379255321505,0.00021833185044352883,0.6612992402203609,0,0.01156207446784955
near_1e12,secondary_control,128,0.15,1.0,0.0,0.0,0.0,0.0,0.971339449117095,0.0005318067783442113,0.4919488603305414,0,0.028660550882905027
near_1e12,secondary_control,128,0.2,1.0,0.0,0.0,0.0,0.0,0.9440938022722376,0.0010081379854764343,0.3225984804407218,0,0.05590619772776244
near_1e12,secondary_control,128,0.25,1.0,0.0,0.0,0.0,0.0,0.9047539591090707,0.0016456803088402963,0.15324810055090232,0,0.09524604089092928
near_1e12,secondary_control,128,0.3,0.9990234375,0.003906250000000007,0.0009765625,0.0039062499999999996,0.0,0.8517747255925995,0.002410528090685458,0.01186554646711624,0,0.14724871190740052
near_1e12,secondary_control,128,0.35,0.96826171875,0.013522246691987183,0.03173828125,0.013522246691987184,0.0,0.7845014982663032,0.003226811485952022,5.232725779569236e-06,0,0.18376022048369672
near_1e12,secondary_control,128,0.4,0.8837890625,0.010236064586996644,0.1162109375,0.01023606458699664,0.0,0.7036987988751505,0.003978336931528139,7.054569729547655e-05,0,0.18009026362484948
near_1e12,secondary_control,128,0.45,0.822265625,0.012270019780614302,0.177734375,0.012270019780614322,0.0,0.6119262572049772,0.004529199728727535,0.0012496864019513332,0,0.2103393677950228
near_1e12,secondary_control,128,0.5,0.783203125,0.00781250000000002,0.216796875,0.007812499999999994,0.0,0.5135238395519472,0.004762630238481656,0.0006985945113946457,0,0.26967928544805275
near_1e12,secondary_control,128,0.55,0.75,0.007547592055307007,0.25,0.007547592055307002,0.0,0.41406183129218044,0.004623370383626774,0.00042896289899552187,0,0.33593816870781956
near_1e12,secondary_control,128,0.6,0.7177734375,0.00983051358759213,0.2822265625,0.009830513587592125,0.0,0.3193510860763568,0.004140580704321427,0.0007308932828375969,0,0.3984223514236432
near_1e12,secondary_control,128,0.65,0.69091796875,0.00900699146120899,0.30908203125,0.009006991461208988,0.0,0.23435620463458928,0.003416806945082023,0.00023775565741090965,0,0.4565617641154107
near_1e12,secondary_control,128,0.7,0.67041015625,0.010756973725168172,0.32958984375,0.010756973725168168,0.0,0.1624150362661693,0.002589671285468945,0.0009141515190734806,0,0.5079951199838307
near_1e12,secondary_control,128,0.75,0.6552734375,0.008498525454208677,0.3447265625,0.008498525454208724,0.0,0.10498931751970274,0.0017883884486468654,0.00010597286204627743,0,0.5502841199802972
near_1e12,secondary_control,128,0.8,0.6396484375,0.00940749576468148,0.3603515625,0.00940749576468149,0.0,0.06190056975810927,0.0011049860120090549,0.0016019082223621695,0,0.5777478677418907
near_1e12,secondary_control,128,0.85,0.6259765625,0.00940749576468148,0.3740234375,0.009407495764681492,0.0,0.03183211738308844,0.0005863773809058254,0.0012388621930781163,0,0.5941444451169116
near_1e12,secondary_control,128,0.9,0.61376953125,0.010661987549965765,0.38623046875,0.010661987549965769,0.0,0.012866600370755337,0.00024163944257517186,0.0016302759627115915,0,0.6009029308792446
near_1e12,secondary_control,128,0.95,0.60498046875,0.008052940675034486,0.39501953125,0.008052940675034495,0.0,0.002916076834765096,5.531483820467083e-05,0.00016078076037617794,0,0.6020643919152349
near_1e12,secondary_control,256,0.1,1.0,0.0,0.0,0.0,0.0,0.9884824469159451,0.00015470614893174013,0.6612992402203604,0,0.011517553084054881
near_1e12,secondary_control,256,0.15,1.0,0.0,0.0,0.0,0.0,0.9714478282347835,0.0003768690327344029,0.4919488603305405,0,0.028552171765216502
near_1e12,secondary_control,256,0.2,1.0,0.0,0.0,0.0,0.0,0.9442990588752852,0.0007145453779609147,0.3225984804407206,0,0.055700941124714805
near_1e12,secondary_control,256,0.25,1.0,0.0,0.0,0.0,0.0,0.9050885566598345,0.0011667037938185632,0.15324810055090077,0,0.09491144334016555
near_1e12,secondary_control,256,0.3,0.99951171875,0.0019531250000000043,0.00048828125,0.0019531249999999998,0.0,0.8522639175109047,0.0017094967429392646,0.011865546467117571,0,0.1472478012390953
near_1e12,secondary_control,256,0.35,0.9716796875,0.008131507810414563,0.0283203125,0.00813150781041458,0.0,0.7851547911942631,0.0022893237468460128,5.232807106070325e-06,0,0.18652489630573688
near_1e12,secondary_control,256,0.4,0.885009765625,0.006685472032367864,0.114990234375,0.006685472032367866,0.0,0.7045019360157984,0.002823880465072797,9.461145092592993e-06,0,0.1805078296092016
near_1e12,secondary_control,256,0.45,0.822265625,0.007411588266019636,0.177734375,0.007411588266019639,0.0,0.6128376099130743,0.0032166456346387935,0.0001297913791857841,0,0.20942801508692563
near_1e12,secondary_control,256,0.5,0.781982421875,0.004777510366915971,0.218017578125,0.004777510366915972,0.0,0.5144787809988717,0.003384382491589887,0.00012332153100225174,0,0.2675036408761283
near_1e12,secondary_control,256,0.55,0.7490234375,0.006914540649662354,0.2509765625,0.006914540649662375,0.0,0.4149855232493287,0.003287315125415778,0.00042893184157444253,0,0.3340379142506713
near_1e12,secondary_control,256,0.6,0.7158203125,0.006135009890307154,0.2841796875,0.006135009890307166,0.0,0.3201754780487682,0.0029456342342185633,0.0001966369965258341,0,0.3956448344512318
near_1e12,secondary_control,256,0.65,0.690185546875,0.0064924883353885635,0.309814453125,0.006492488335388527,0.0,0.23503438118947245,0.0024319024800551954,1.6579380624159867e-05,0,0.45515116568552755
near_1e12,secondary_control,256,0.7,0.671630859375,0.006608954810815894,0.328369140625,0.006608954810815882,0.0,0.16292768332450253,0.0018439306033282104,0.000514956491264984,0,0.5087031760504974
near_1e12,secondary_control,256,0.75,0.65380859375,0.005683112719477894,0.34619140625,0.005683112719477913,0.0,0.1053425943434435,0.0012737950643148357,0.00010597317011340479,0,0.5484659994065565
near_1e12,secondary_control,256,0.8,0.639404296875,0.005832185178114901,0.360595703125,0.005832185178114871,0.0,0.062118499824672734,0.0007872218009500028,0.0016019033292380414,0,0.5772857970503272
near_1e12,secondary_control,256,0.85,0.625,0.008317041365974597,0.375,0.008317041365974644,0.0,0.03194763624979723,0.00041781956866946915,0.0007833489157311746,0,0.5930523637502028
near_1e12,secondary_control,256,0.9,0.6142578125,0.0078773351365907,0.3857421875,0.007877335136590726,0.0,0.012914170831983603,0.00017219643747719317,0.0008841331165818644,0,0.6013436416680165
near_1e12,secondary_control,256,0.95,0.601806640625,0.006608954810815871,0.398193359375,0.0066089548108158765,0.0,0.002926962385289532,3.942043595325874e-05,0.00016185610419305885,0,0.5988796782397104
